name,batting_score,bowling_score,overall_score,salary,team,season
YK Pathan,-18.83,2.67,-16.16,296880,Sunrisers Hyderabad,2018
YS Chahal,-2.47,93.83,91.36,937500,Royal Challengers Bangalore,2018
A Mishra,2.75,98.67,101.42,625000,Delhi Capitals,2019
AB de Villiers,57.34,0,57.34,1718750,Royal Challengers Bangalore,2019
AD Russell,131.39,-140.2,-8.81,1328130,Kolkata Knight Riders,2019
AM Rahane,13.92,0,13.92,625000,Rajasthan Royals,2019
AR Patel,-3.64,122.44,118.8,714300,Delhi Capitals,2019
AT Rayudu,-80.17,0,-80.17,343750,Chennai Super Kings,2019
B Kumar,-1.34,5.37,4.03,1328130,Sunrisers Hyderabad,2019
CA Lynn,-2.86,0,-2.86,1500000,Kolkata Knight Riders,2019
CH Gayle,24.27,0,24.27,312500,Kings XI Punjab,2019
CH Morris,-8.75,-153.86,-162.61,1718750,Delhi Capitals,2019
DA Miller,-29.97,0,-29.97,468750,Kings XI Punjab,2019
DA Warner,41.4,0,41.4,1953130,Sunrisers Hyderabad,2019
DJ Bravo,-5.86,-26.85,-32.71,1000000,Chennai Super Kings,2019
DL Chahar,-0.02,82.08,82.06,125000,Chennai Super Kings,2019
F du Plessis,-31.61,0,-31.61,250000,Chennai Super Kings,2019
HH Pandya,95.29,-181.7,-86.41,1718750,Mumbai Indians,2019
Harbhajan Singh,-1.35,69.12,67.77,312500,Chennai Super Kings,2019
I Sharma,6.57,-18.36,-11.79,157100,Delhi Capitals,2019
Imran Tahir,0,220.08,220.08,156250,Chennai Super Kings,2019
JC Archer,23.04,87.28,110.32,1125000,Rajasthan Royals,2019
JC Buttler,17.5,0,17.5,687500,Rajasthan Royals,2019
JD Unadkat,-1.11,-323.34,-324.45,1200000,Rajasthan Royals,2019
JJ Bumrah,-0.78,152.62,151.84,1093750,Mumbai Indians,2019
JM Bairstow,42.65,0,42.65,314300,Sunrisers Hyderabad,2019
K Rabada,3.47,-12.05,-8.58,656250,Delhi Capitals,2019
KA Pollard,46.15,0,46.15,843750,Mumbai Indians,2019
KD Karthik,41.65,0,41.65,1156250,Kolkata Knight Riders,2019
KH Pandya,-37.63,90.78,53.15,1375000,Mumbai Indians,2019
KK Ahmed,-1.14,-51.67,-52.81,468750,Sunrisers Hyderabad,2019
KL Rahul,6.67,0,6.67,1718750,Kings XI Punjab,2019
MA Agarwal,16.68,0,16.68,156250,Kings XI Punjab,2019
MK Pandey,-5.64,0,-5.64,1718750,Sunrisers Hyderabad,2019
MM Ali,58.38,96.17,154.55,265630,Royal Challengers Bangalore,2019
MP Stoinis,2.97,-31.3,-28.33,968750,Royal Challengers Bangalore,2019
MS Dhoni,-26.66,0,-26.66,2343750,Chennai Super Kings,2019
Mohammed Shami,-0.4,-160.33,-160.73,685700,Kings XI Punjab,2019
N Rana,40.96,-20.01,20.95,531250,Kolkata Knight Riders,2019
PA Patel,14.91,0,14.91,265630,Royal Challengers Bangalore,2019
PP Chawla,1.25,-153.43,-152.18,656250,Kolkata Knight Riders,2019
PP Shaw,-1.16,0,-1.16,187500,Delhi Capitals,2019
Q de Kock,-0.92,0,-0.92,437500,Mumbai Indians,2019
R Ashwin,2.96,126.97,129.93,1187500,Kings XI Punjab,2019
RA Jadeja,-25.06,245.75,220.69,1093750,Chennai Super Kings,2019
RD Chahar,0.2,195.91,196.11,296880,Mumbai Indians,2019
RG Sharma,-34.55,0,-34.55,2343750,Mumbai Indians,2019
RR Pant,59.72,0,59.72,2343750,Delhi Capitals,2019
RV Uthappa,-50.94,0,-50.94,1000000,Kolkata Knight Riders,2019
Rashid Khan,6.12,247.54,253.66,1406250,Sunrisers Hyderabad,2019
S Dhawan,-17.76,0,-17.76,812500,Delhi Capitals,2019
S Gopal,-1.23,96.02,94.79,31250,Rajasthan Royals,2019
SA Yadav,-3.84,0,-3.84,500000,Mumbai Indians,2019
SK Raina,-36.98,2.03,-34.95,1718750,Chennai Super Kings,2019
SL Malinga,0,-302.47,-302.47,285700,Mumbai Indians,2019
SM Curran,25.55,-186.86,-161.31,1028600,Kings XI Punjab,2019
SP Narine,17.32,-13.51,3.81,1953130,Kolkata Knight Riders,2019
SPD Smith,-14.86,0,-14.86,1953130,Rajasthan Royals,2019
SR Watson,-44.31,0,-44.31,625000,Chennai Super Kings,2019
SS Iyer,-3.7,0,-3.7,1093750,Delhi Capitals,2019
SV Samson,30.61,0,30.61,1250000,Rajasthan Royals,2019
Sandeep Sharma,2.86,-47.66,-44.8,468750,Sunrisers Hyderabad,2019
Shubman Gill,-21.43,0,-21.43,281250,Kolkata Knight Riders,2019
V Kohli,6.53,0,6.53,2656250,Royal Challengers Bangalore,2019
V Shankar,-29.69,-11.33,-41.02,500000,Sunrisers Hyderabad,2019
YS Chahal,-6.55,-7.84,-14.39,937500,Royal Challengers Bangalore,2019
A Nortje,0.76,-162.93,-162.17,28600,Delhi Capitals,2020
AB de Villiers,33.03,0,33.03,1718750,Royal Challengers Bangalore,2020
AJ Finch,-58.3,0,-58.3,628600,Royal Challengers Bangalore,2020
AT Rayudu,-13.95,0,-13.95,343750,Chennai Super Kings,2020
BA Stokes,40.86,-136.03,-95.17,1953130,Rajasthan Royals,2020
CH Gayle,4.64,1.7,6.34,312500,Kings XI Punjab,2020
CV Varun,-1.29,176.57,175.28,1200000,Kolkata Knight Riders,2020
D Padikkal,-29,0,-29,28600,Royal Challengers Bangalore,2020
DA Warner,-6.89,-0.66,-7.55,1953130,Sunrisers Hyderabad,2020
DL Chahar,-8.23,25.52,17.29,125000,Chennai Super Kings,2020
EJG Morgan,43.37,0,43.37,750000,Kolkata Knight Riders,2020
F du Plessis,17.42,0,17.42,250000,Chennai Super Kings,2020
HH Pandya,57.68,0,57.68,1718750,Mumbai Indians,2020
Ishan Kishan,24.13,0,24.13,968750,Mumbai Indians,2020
JC Archer,32.33,230.53,262.86,1125000,Rajasthan Royals,2020
JC Buttler,33.77,0,33.77,687500,Rajasthan Royals,2020
JJ Bumrah,3.8,144.15,147.95,1093750,Mumbai Indians,2020
JL Pattinson,1.49,-112.57,-111.08,100000,Mumbai Indians,2020
JM Bairstow,-27.55,0,-27.55,314300,Sunrisers Hyderabad,2020
JO Holder,1.4,-55.11,-53.71,105000,Sunrisers Hyderabad,2020
K Rabada,1.95,-130.53,-128.58,656250,Delhi Capitals,2020
KA Pollard,93.19,-42.6,50.59,843750,Mumbai Indians,2020
KL Rahul,21.84,0,21.84,1718750,Kings XI Punjab,2020
KS Williamson,-11.37,-7.95,-19.32,468750,Sunrisers Hyderabad,2020
M Ashwin,-1.08,30.14,29.06,28600,Kings XI Punjab,2020
MA Agarwal,58.13,0,58.13,156250,Kings XI Punjab,2020
MK Pandey,-26.67,0,-26.67,1718750,Sunrisers Hyderabad,2020
MP Stoinis,44.01,-163.01,-119,685700,Delhi Capitals,2020
MS Dhoni,-38.44,0,-38.44,2343750,Chennai Super Kings,2020
Mohammed Shami,-1.12,-154.31,-155.43,685700,Kings XI Punjab,2020
Mohammed Siraj,2.45,-98.19,-95.74,406250,Royal Challengers Bangalore,2020
N Pooran,60.06,0,60.06,600000,Kings XI Punjab,2020
N Rana,16.47,-6.95,9.52,531250,Kolkata Knight Riders,2020
PJ Cummins,-6.26,-48.5,-54.76,2214300,Kolkata Knight Riders,2020
PP Shaw,18.57,0,18.57,187500,Delhi Capitals,2020
Q de Kock,23.25,0,23.25,437500,Mumbai Indians,2020
R Ashwin,-6.14,40.48,34.34,1100000,Delhi Capitals,2020
R Tewatia,18.05,38.68,56.73,430000,Rajasthan Royals,2020
RA Jadeja,56.16,-52.24,3.92,1093750,Chennai Super Kings,2020
RA Tripathi,-0.33,0,-0.33,85700,Kolkata Knight Riders,2020
RD Chahar,-2.16,-57.4,-59.56,296880,Mumbai Indians,2020
RD Gaikwad,-9.13,0,-9.13,28600,Chennai Super Kings,2020
RG Sharma,-4.78,0,-4.78,2343750,Mumbai Indians,2020
RR Pant,-36.61,0,-36.61,2343750,Delhi Capitals,2020
Rashid Khan,-4.63,463.37,458.74,1406250,Sunrisers Hyderabad,2020
Ravi Bishnoi,-8.23,72.47,64.24,285700,Kings XI Punjab,2020
S Dhawan,59.22,0,59.22,812500,Delhi Capitals,2020
SA Yadav,41.23,0,41.23,500000,Mumbai Indians,2020
SM Curran,2.02,-49.16,-47.14,785700,Chennai Super Kings,2020
SN Thakur,-2.82,-70.81,-73.63,406250,Chennai Super Kings,2020
SPD Smith,-18.29,0,-18.29,1953130,Rajasthan Royals,2020
SR Watson,-34.2,0,-34.2,625000,Chennai Super Kings,2020
SS Iyer,-70.97,0,-70.97,1093750,Delhi Capitals,2020
SV Samson,44.45,0,44.45,1250000,Rajasthan Royals,2020
Sandeep Sharma,1.41,129.58,130.99,468750,Sunrisers Hyderabad,2020
Shubman Gill,-30.6,0,-30.6,281250,Kolkata Knight Riders,2020
T Natarajan,1,-99.83,-98.83,62500,Sunrisers Hyderabad,2020
TA Boult,-0.71,-27.02,-27.73,460000,Mumbai Indians,2020
V Kohli,-25.35,0,-25.35,2656250,Royal Challengers Bangalore,2020
WP Saha,-2.64,0,-2.64,171400,Sunrisers Hyderabad,2020
YS Chahal,-1,122.6,121.6,937500,Royal Challengers Bangalore,2020
A Nortje,0,106.57,106.57,28600,Delhi Capitals,2021
AB de Villiers,43.56,0,43.56,1718750,Royal Challengers Bangalore,2021
AD Russell,30.56,-79.79,-49.23,1328130,Kolkata Knight Riders,2021
AR Patel,-17.4,159.28,141.88,714300,Delhi Capitals,2021
AT Rayudu,31.92,0,31.92,343750,Chennai Super Kings,2021
Arshdeep Singh,0.29,-86.17,-85.88,28600,Punjab Kings,2021
Avesh Khan,1.6,11.05,12.65,109380,Delhi Capitals,2021
C Sakariya,-12.34,-86.9,-99.24,171400,Rajasthan Royals,2021
CH Morris,-1.04,-246,-247.04,2321400,Rajasthan Royals,2021
CV Varun,-1.37,219.16,217.79,1200000,Kolkata Knight Riders,2021
D Padikkal,-34.69,0,-34.69,28600,Royal Challengers Bangalore,2021
DJ Bravo,18.76,-12.9,5.86,1000000,Chennai Super Kings,2021
DL Chahar,0.16,-74.52,-74.36,125000,Chennai Super Kings,2021
F du Plessis,43.66,0,43.66,250000,Chennai Super Kings,2021
GJ Maxwell,66.59,-14.52,52.07,2035700,Royal Challengers Bangalore,2021
HV Patel,0.8,-53.32,-52.52,31250,Royal Challengers Bangalore,2021
Ishan Kishan,20.96,0,20.96,968750,Mumbai Indians,2021
JC Buttler,30.65,0,30.65,687500,Rajasthan Royals,2021
JJ Bumrah,1.69,8.47,10.16,1093750,Mumbai Indians,2021
JM Bairstow,23.41,0,23.41,314300,Sunrisers Hyderabad,2021
JO Holder,4.42,8.02,12.44,105000,Sunrisers Hyderabad,2021
JR Hazlewood,0,-84.6,-84.6,285700,Chennai Super Kings,2021
K Rabada,6.2,-81.9,-75.7,656250,Delhi Capitals,2021
KA Pollard,17.85,18.48,36.33,843750,Mumbai Indians,2021
KD Karthik,16.54,0,16.54,1156250,Kolkata Knight Riders,2021
KL Rahul,25.67,0,25.67,1718750,Punjab Kings,2021
KS Williamson,-32.25,0,-32.25,468750,Sunrisers Hyderabad,2021
LH Ferguson,3.26,26.52,29.78,228600,Kolkata Knight Riders,2021
M Prasidh Krishna,-0.57,-168.58,-169.15,15620,Kolkata Knight Riders,2021
MA Agarwal,34.48,0,34.48,156250,Punjab Kings,2021
MK Pandey,-2.26,0,-2.26,1718750,Sunrisers Hyderabad,2021
MM Ali,33.76,69.85,103.61,1000000,Chennai Super Kings,2021
Mohammed Shami,-1.31,34.89,33.58,685700,Punjab Kings,2021
Mohammed Siraj,-1.88,106.94,105.06,406250,Royal Challengers Bangalore,2021
Mustafizur Rahman,0.03,-140.77,-140.74,142900,Rajasthan Royals,2021
N Rana,-9.92,7.64,-2.28,531250,Kolkata Knight Riders,2021
PP Shaw,81.36,0,81.36,187500,Delhi Capitals,2021
Q de Kock,-30.48,0,-30.48,437500,Mumbai Indians,2021
RA Jadeja,39.35,38.44,77.79,1093750,Chennai Super Kings,2021
RA Tripathi,31.13,0,31.13,85700,Kolkata Knight Riders,2021
RD Chahar,-5.26,24.34,19.08,296880,Mumbai Indians,2021
RD Gaikwad,18.62,0,18.62,28600,Chennai Super Kings,2021
RG Sharma,-15.35,-3.78,-19.13,2343750,Mumbai Indians,2021
RR Pant,-8.84,0,-8.84,2343750,Delhi Capitals,2021
Rashid Khan,-8.15,112.14,103.99,1406250,Sunrisers Hyderabad,2021
Ravi Bishnoi,-4.67,111.18,106.51,285700,Punjab Kings,2021
S Dhawan,-15.26,0,-15.26,812500,Delhi Capitals,2021
S Dube,-17.84,-14.79,-32.63,628600,Rajasthan Royals,2021
SA Yadav,43.77,0,43.77,500000,Mumbai Indians,2021
SN Thakur,-2.18,-178.03,-180.21,406250,Chennai Super Kings,2021
SO Hetmyer,58.35,0,58.35,1107100,Delhi Capitals,2021
SP Narine,0.99,199.14,200.13,1953130,Kolkata Knight Riders,2021
SV Samson,34.26,0,34.26,1250000,Rajasthan Royals,2021
Shivam Mavi,7.33,14.15,21.48,468750,Kolkata Knight Riders,2021
Shubman Gill,-57.78,0,-57.78,281250,Kolkata Knight Riders,2021
TA Boult,-2.37,-19.81,-22.18,460000,Mumbai Indians,2021
V Kohli,-30.69,0,-30.69,2656250,Royal Challengers Bangalore,2021
VR Iyer,-5.16,-12.69,-17.85,28600,Kolkata Knight Riders,2021
YBK Jaiswal,38.21,0,38.21,342900,Rajasthan Royals,2021
YS Chahal,-5.37,82.82,77.45,937500,Royal Challengers Bangalore,2021
AD Russell,57.29,-92.51,-35.22,1328130,Kolkata Knight Riders,2022
AK Markram,31.78,-13.72,18.06,351351,Sunrisers Hyderabad,2022
AT Rayudu,-49.5,0,-49.5,343750,Chennai Super Kings,2022
Abhishek Sharma,-1.74,-6.87,-8.61,85940,Sunrisers Hyderabad,2022
Arshdeep Singh,4.71,0.91,5.62,28600,Punjab Kings,2022
Avesh Khan,5.46,-9.77,-4.31,109380,Lucknow Super Giants,2022
B Kumar,-6.01,86.22,80.21,1328130,Sunrisers Hyderabad,2022
D Padikkal,-37.31,0,-37.31,28600,Rajasthan Royals,2022
DA Miller,1.64,0,1.64,107100,Gujarat Titans,2022
DA Warner,42.86,0,42.86,1953130,Delhi Capitals,2022
DJ Bravo,-7.11,-63.52,-70.63,1000000,Chennai Super Kings,2022
DP Conway,23.18,0,23.18,135135,Chennai Super Kings,2022
DR Sams,-6.52,-63.52,-70.04,351351,Mumbai Indians,2022
F du Plessis,-23.85,0,-23.85,250000,Royal Challengers Bangalore,2022
GJ Maxwell,72.63,100.53,173.16,2035700,Royal Challengers Bangalore,2022
HH Pandya,6.79,80.65,87.44,1718750,Gujarat Titans,2022
HV Patel,-6.73,-6.27,-13,31250,Royal Challengers Bangalore,2022
Ishan Kishan,-7,0,-7,968750,Mumbai Indians,2022
JC Buttler,79.94,0,79.94,687500,Rajasthan Royals,2022
JJ Bumrah,-6.95,88.54,81.59,1093750,Mumbai Indians,2022
JM Bairstow,33.24,0,33.24,314300,Punjab Kings,2022
JM Sharma,49.89,0,49.89,24000,Punjab Kings,2022
JR Hazlewood,-2.75,50.94,48.19,285700,Royal Challengers Bangalore,2022
K Rabada,13.73,-43.94,-30.21,656250,Punjab Kings,2022
KD Karthik,71.98,0,71.98,1156250,Royal Challengers Bangalore,2022
KK Ahmed,-1.21,38.6,37.39,468750,Delhi Capitals,2022
KL Rahul,16.67,0,16.67,1718750,Lucknow Super Giants,2022
KS Williamson,-83.27,0,-83.27,468750,Sunrisers Hyderabad,2022
Kuldeep Yadav,-16.24,-2.36,-18.6,28600,Delhi Capitals,2022
LH Ferguson,0.71,-155.5,-154.79,228600,Gujarat Titans,2022
LS Livingstone,74.4,-9.62,64.78,107100,Punjab Kings,2022
M Prasidh Krishna,-6.86,-11.25,-18.11,15620,Rajasthan Royals,2022
M Theekshana,1.62,65.41,67.03,94595,Chennai Super Kings,2022
MM Ali,-2.27,77.88,75.61,1000000,Chennai Super Kings,2022
MR Marsh,-17.46,-4.64,-22.1,285700,Delhi Capitals,2022
MS Dhoni,-20.15,0,-20.15,2343750,Chennai Super Kings,2022
Mohammed Shami,0,-39.44,-39.44,685700,Gujarat Titans,2022
Mukesh Choudhary,2.38,-136.53,-134.15,24000,Chennai Super Kings,2022
N Pooran,-14.69,0,-14.69,600000,Sunrisers Hyderabad,2022
N Rana,14.21,-5.62,8.59,531250,Kolkata Knight Riders,2022
PP Shaw,45.18,0,45.18,187500,Delhi Capitals,2022
PWH de Silva,-17.59,110.44,92.85,1452703,Royal Challengers Bangalore,2022
Q de Kock,12.73,0,12.73,437500,Lucknow Super Giants,2022
R Ashwin,13.17,136.86,150.03,1100000,Rajasthan Royals,2022
R Powell,20.15,-8.62,11.53,378378,Delhi Capitals,2022
RA Tripathi,48.31,0,48.31,85700,Sunrisers Hyderabad,2022
RD Chahar,3.33,39.78,43.11,296880,Punjab Kings,2022
RD Gaikwad,-5.01,0,-5.01,28600,Chennai Super Kings,2022
RG Sharma,-35.83,0,-35.83,2343750,Mumbai Indians,2022
RM Patidar,-17.19,0,-17.19,28600,Royal Challengers Bangalore,2022
RR Pant,40.07,0,40.07,2343750,Delhi Capitals,2022
RV Uthappa,1.81,0,1.81,428600,Chennai Super Kings,2022
Rashid Khan,32.06,258.6,290.66,1406250,Gujarat Titans,2022
S Dhawan,-37.75,0,-37.75,812500,Punjab Kings,2022
S Dube,16.13,-49.26,-33.13,628600,Chennai Super Kings,2022
SA Yadav,22.82,0,22.82,500000,Mumbai Indians,2022
SN Thakur,17.08,-238.94,-221.86,406250,Delhi Capitals,2022
SO Hetmyer,-4.92,0,-4.92,1107100,Rajasthan Royals,2022
SS Iyer,3.34,1.39,4.73,1093750,Kolkata Knight Riders,2022
SV Samson,28.69,0,28.69,1250000,Rajasthan Royals,2022
Shubman Gill,2.66,0,2.66,281250,Gujarat Titans,2022
T Natarajan,0,-166.87,-166.87,62500,Sunrisers Hyderabad,2022
TA Boult,-1.16,-22.26,-23.42,460000,Rajasthan Royals,2022
TG Southee,-6.45,50.57,44.12,156250,Kolkata Knight Riders,2022
UT Yadav,12.12,111.5,123.62,142900,Kolkata Knight Riders,2022
Umran Malik,-2.15,-172.12,-174.27,540541,Sunrisers Hyderabad,2022
V Kohli,-31.97,0,-31.97,2656250,Royal Challengers Bangalore,2022
WP Saha,-7.19,0,-7.19,171400,Gujarat Titans,2022
YBK Jaiswal,10.47,0,10.47,342900,Rajasthan Royals,2022
YS Chahal,-1.15,16.86,15.71,937500,Rajasthan Royals,2022
